reference_check_id,check_id,check_type,validation_scope,source_table_family,source_row_level,source_row_type,target_table_family,target_row_level,target_row_type,compared_key,demand_number,major_head_code,sub_major_head_code,minor_head_code,sub_head_code,detailed_head_code,financial_column_position,financial_column_label,source_amount,target_amount,diff,abs_diff,accuracy_pct,passed,failed,metric_name,metric_value,threshold,na_reason,source_file,target_file
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2052_00_090,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2052_00_090,03,2052,00,090,,,3,Revised_2019_20,1163.66,1163.66,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2052_00_090,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2052_00_090,03,2052,00,090,,,4,Budget_2020_21,1212.66,1212.66,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_095,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_095,03,2054,00,095,,,1,Accounts_2018_19,6291.39,6291.39,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_095,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_095,03,2054,00,095,,,2,Budget_2019_20,6003.34,6003.34,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_095,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_095,03,2054,00,095,,,3,Revised_2019_20,6003.34,6003.34,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_095,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_095,03,2054,00,095,,,4,Budget_2020_21,7018.85,7018.85,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_097,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_097,03,2054,00,097,,,1,Accounts_2018_19,9915.88,9915.88,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_097,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_097,03,2054,00,097,,,2,Budget_2019_20,11297,11297,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_097,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_097,03,2054,00,097,,,3,Revised_2019_20,11297,11297,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_097,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_097,03,2054,00,097,,,4,Budget_2020_21,12074.88,12074.88,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_098,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_098,03,2054,00,098,,,1,Accounts_2018_19,4458.20,4458.20,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_098,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_098,03,2054,00,098,,,2,Budget_2019_20,5203,5203,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_098,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_098,03,2054,00,098,,,3,Revised_2019_20,5228.97,5228.97,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_098,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_098,03,2054,00,098,,,4,Budget_2020_21,5883.14,5883.14,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_911,03,2054,00,911,,,1,Accounts_2018_19,-9.91,-9.91,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_911,03,2054,00,911,,,2,Budget_2019_20,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_911,03,2054,00,911,,,3,Revised_2019_20,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2054_00_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2054_00_911,03,2054,00,911,,,4,Budget_2020_21,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2070_00_800,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2070_00_800,03,2070,00,800,,,1,Accounts_2018_19,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2070_00_800,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2070_00_800,03,2070,00,800,,,2,Budget_2019_20,7469,7469,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2070_00_800,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2070_00_800,03,2070,00,800,,,3,Revised_2019_20,7395.37,7395.37,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2070_00_800,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2070_00_800,03,2070,00,800,,,4,Budget_2020_21,4968,4968,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_101,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_101,03,2071,01,101,,,1,Accounts_2018_19,1098354.60,1098354.60,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_101,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_101,03,2071,01,101,,,2,Budget_2019_20,1398050,1398050,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_101,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_101,03,2071,01,101,,,3,Revised_2019_20,1248050,1248050,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_101,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_101,03,2071,01,101,,,4,Budget_2020_21,1381972.74,1381972.74,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_102,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_102,03,2071,01,102,,,1,Accounts_2018_19,177965.68,177965.68,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_102,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_102,03,2071,01,102,,,2,Budget_2019_20,168834,168834,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_102,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_102,03,2071,01,102,,,3,Revised_2019_20,218834,218834,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_102,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_102,03,2071,01,102,,,4,Budget_2020_21,167547,167547,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_103,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_103,03,2071,01,103,,,1,Accounts_2018_19,987.90,987.90,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_103,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_103,03,2071,01,103,,,2,Budget_2019_20,827,827,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_103,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_103,03,2071,01,103,,,3,Revised_2019_20,827,827,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_103,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_103,03,2071,01,103,,,4,Budget_2020_21,853,853,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_104,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_104,03,2071,01,104,,,1,Accounts_2018_19,160406.48,160406.48,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_104,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_104,03,2071,01,104,,,2,Budget_2019_20,187690,187690,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_104,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_104,03,2071,01,104,,,3,Revised_2019_20,237690,237690,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2071_01_104,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2071_01_104,03,2071,01,104,,,4,Budget_2020_21,185141,185141,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
